,0
0,giphy
1,aled
2,moi c'est totalement aled
3,google
4,ça c’
5,ibm
6,tenor gif
7,dorine l’
8,fais de l'art
9,go
10,paf
11,euh
12,genre
13,"je sais pas
mais ça peut-être un symptôme de covid"
14,dorine
15,"maud
d’"
16,ça
17,juliette tu fais le form
18,merci juliette
19,incroyable
20,instagram
21,reu
22,deso
23,je peux jusqu’
24,mito
25,ton
26,j'ai jamais conjugué ce verbe
27,bordeaux vendredi
28,kermes
29,1a
30,bde
31,ds
32,si
33,j'arrives
34,santa
35,saracco
36,nadège
37,prebot
38,"yes
bon"
39,allô
40,youpi
41,oh les gars on
42,ou sinon on réutilise
43,julien
44,mdrrr
45,d3a
46,beaurepaire
47,bonnefon
48,antoine
49,quel wec
50,normal
51,all i
52,christmas
53,qrcog
54,airbnb
55,y'en aurait pour 25 euros
56,ca
57,brd
58,sinon
59,nope
60,ok c’
61,mdrrr c’
62,aled l’
63,désolée
64,coucou
65,ptin
66,t'es en train de poser des question @julien
67,tchikita
68,ah
69,ce
70,jul il
71,trop
72,beau
73,biglouche
74,super
75,ah oui !
76,thomas
77,cte
78,partiel de hourlier
79,divers
80,tg
81,kan
82,esrl
83,anova
84,simon
85,joyeux
86,elise
87,bocal
88,sapin c’
89,lorgue
90,j'ai dit 19h
91,parize goume
92,ttc
93,eh bah vous
94,gout
95,oof
96,toi t’
97,maelle
98,bof
99,aaaah c’
100,ouais
101,j'en sais rien
102,regarde
103,zuliani
104,amusez
105,oups
106,paul
107,ah ça veut dire on
108,pareil
109,léa
110,https://us02web.zoom.us/j/81000350455?pwd=nndxcitmbwveuc9cwuhacdnoc0k4ut09
111,"nico
"
112,largeault
113,apres
114,merci @juliette
115,https://docs.google.com/forms/d/e/1faipqlsearg0unvees4allqqows0lpmfk77gcvlyypg9gyygr_xkpsa/viewform?usp=sf_link
116,parize @albane
117,yann
118,lydia
119,sorryyyy j’
120,justine
121,cheum genre
122,linkedin
123,ensc
124,utilisateur
125,thalès
126,renault
127,ux designer
128,ux researcher
129,ergonome
130,facteurs humain
131,data
132,data science / ia
133,product owner
134,manager
135,ingénieur
136,2a
137,marie
138,pcq bon un pull orange
139,ptdr
140,xs
141,wec
142,noël
143,blue
144,fait
145,fanny
146,orange
147,ah bah
148,laisse fanny trkl toi
149,grave
150,soutenance
151,c fo
152,cec
153,impossible
154,état
155,julie
156,yes
157,faudra
158,l’ensc
159,laur
160,dis
161,starf
162,trop vieux
163,hippo
164,"lol
"
165,meilleur jeu !
166,lance
167,tuez
168,mdrr ma mère
169,chui
170,nicolas
171,salotti
172,comtess
173,edwige d'uml
174,moodle
175,jsp
176,s8
177,stuv j’
178,uml
179,un tp
180,ouiiii
181,youtube
182,hâte
183,ju tuer des gens devant
184,moquez
185,@léa grondin
186,mago
187,@mado
188,pierre
189,"un drive bien fourni
"
190,cm
191,ah d’accord
192,sarenacllav c’
193,go wec
194,hier olivier
195,génie log
196,gl
197,whaa
198,mattheo
199,large
200,promo
201,rigal
202,"correction
c’"
203,examen_modelisationstat-ensc-2a_janvier2017.pdf
204,sd
205,saracco c’
206,l’as
207,fafa
208,ensuite calme toi
209,nico
210,bonne année
211,bonne
212,bonaparte
213,heuuu
214,t9
215,bonne année bande de bg
216,largeault t’
217,avoir disney
218,ans
219,revenez
220,faut
221,canada
222,"non
du 15"
223,janvier
224,je vais
225,"https://ibm.webex.com/join/marc.rodier
faut"
226,bordeaux
227,tkt
228,merci !
229,vive
230,ah c’
231,margot
232,svp
233,adresse de mago
234,mbeaurepaire@ensc.fr
235,oupsi
236,ah ok !
237,perso j’
238,fanny t’
239,gneu
240,sarenacllav
241,purée
242,nickel
243,mago c’
244,"je peux te le partagé
"
245,s6 projet
246,commandez
247,europe
248,pesquet
249,connais
250,"jvous ai a mettre des cœurs sur mon message
"
251,hais
252,vous vous rappellez de l'identifiant et du mot de passe de la wofi
253,et ton
254,iloveensc
255,jadorelaje
256,apprend
257,apprends
258,info
259,3a
260,j'ai un rdv
261,bdx inp
262,wei
263,aquitaine
264,reserve
265,"mc
"
266,ihm
267,xavier serviante
268,cours*
269,promis
270,glwadys
271,ru
272,fichtre
273,sabaidiiiiii
274,chaud
275,qui etes
276,vous fait
277,nigrosla
278,olivier
279,quannd
280,wonders !
281,spoil
282,kel
283,shotgun
284,j'ai eu l'expert juridique
285,inp
286,wei and go
287,wei and
288,parfait
289,wei n go
290,merci
291,np btw
292,gradi
293,j'ai moto
294,cho
295,jsp j’
296,éteint
297,forceuse
298,cadet
299,juliette
300,laur t’
301,ah bah super ça
302,vielle meuf
303,y'a qui qui fait le wec chez
304,ya
305,"ah
"
306,wc
307,je sais pas
308,dites ce que
309,bdx
310,si c'est pour une soirée
311,romain
312,brigitte
313,je suis sorry
314,j'ai pas son num mdr
315,mets
316,appelle
317,grosse
318,stats
319,a4
320,whouaaa
321,messieurs
322,le premier sujet de
323,td de sd
324,ensc sd
325,first
326,hmmm
327,wn
328,cdc
329,pii
330,spies
331,porque
332,annule
333,amène
334,oui
335,flemme
336,virez salotti
337,killer bee
338,asuma
339,rat
340,j'aurais
341,jardiland
342,"un arbre comme ça
?"
